SysID,Name,Genotype,Outcrossed,Isolation,Isolation date,Gps latitude,Gps longitude,Isolation location,Date frozen,Source lab,Box name
13.1785,NIC1,wild type,0,rotting fruit,9/14/08,43.279,5.3543,"Marseille, France",4/22/12,NIC,Working Box #1
13.1786,NIC2,wild type,0,rotting plant,9/14/08,43.279,5.3543,"Marseille, France",4/22/12,NIC,Working Box #1
13.1787,NIC3,wild type,0,rotting figs,9/28/08,43.3636,5.3215,"Marseille, France",4/22/12,NIC,Working Box #1
13.1788,NIC4,wild type,0,rotting figs,9/28/08,43.3636,5.3215,"Marseille, France",4/22/12,NIC,Working Box #1
13.1789,NIC166,wild type,0,immature prunes,Unknown,46.72722,6.89775,"Canton of Vaud, Switzerland",4/22/12,NIC,Working Box #1
13.179,NIC195,wild type,0,apple,8/22/11,38.545874,-28.37322,"Santâ€™Aana, Azores",4/22/12,NIC,Working Box #1
13.1791,NIC196,wild type,0,grapes,8/23/11,38.4716405,-28.20149,"Pranhia, Azores",4/22/12,NIC,Working Box #1
13.1792,NIC197,wild type,0,apple,8/23/11,38.39682,-28.25165,"Poco dos Patas, Azores",4/22/12,NIC,Working Box #1
13.1793,NIC198,wild type,0,humus,8/29/11,39.4364016,-31.23849,"Poco dos Patas, Azores",4/22/12,NIC,Working Box #1
13.1794,NIC199,wild type,0,humus,3/9/11,37.745428,-25.19929,"Faial da Terra, Azores",4/22/12,NIC,Working Box #1
13.1795,NIC200,wild type,0,unknown fruit,5/9/11,37.74942,-25.66489,"Ponta Delgada, Azores",4/22/12,NIC,Working Box #1
13.1796,NIC207,wild type,0,rotting oranges,9/21/11,43.720505,7.24045,"Nice, France",4/22/12,NIC,Working Box #1
13.1797,NIC231,wild type,0,rotting oranges,11/14/11,43.720505,7.24045,"Nice, France",4/22/12,NIC,Working Box #1
13.1798,NIC232,wild type,0,rotting oranges,11/14/11,43.720505,7.24045,"Nice, France",4/22/12,NIC,Working Box #1
13.1799,NIC236,wild type,0,rotting fruit,11/26/11,39.242006,-9.313417,"Lourinha, Portugal",4/22/12,NIC,Working Box #1
13.18,NIC237,wild type,0,rotting fruit,11/26/11,39.242006,-9.313417,"Lourinha, Portugal",4/22/12,NIC,Working Box #1
13.1801,QG556,wild type,0,"rotting orange peel, with snails",6/27/11,34.421629,-119.702021,"Santa Barbara, CA",4/27/12,QG,Working Box #1
13.1802,QG557,wild type,0,"rotting orange peel, with snails",6/27/11,34.421629,-119.702021,"Santa Barbara, CA",4/27/12,QG,Working Box #1
13.1803,QG558,wild type,0,"rotting orange peel, with snails",6/27/11,34.421629,-119.702021,"Santa Barbara, CA",4/27/12,QG,Working Box #2
13.1804,CX11271,wild type,0,compost,9/1/03,34.13712,-118.12532,"Los Angeles, USA",4/27/12,CX,Working Box #2
13.1805,CX11285,wild type,0,compost,9/1/03,34.14331,-118.05496,"Los Angeles, USA",4/27/12,CX,Working Box #2
13.1806,DL200,wild type,0,,12/1/07,9.03,38.74,"Addis Ababa, Ethiopia",4/27/12,Denver,Working Box #2
13.1807,JU1896,wild type,0,rotten olives,1/2/01,37.999722,23.749673,"Athens, Greece",4/27/12,JU,Working Box #2
13.1808,QX4,N2xCB4856 RIAIL,0,NA,NA,NA,NA,NA,5/7/12,QX,Working Box #2
13.1809,QX72,N2xCB4856 RIAIL,0,NA,NA,NA,NA,NA,5/7/12,QX,Working Box #2
13.181,QX131,N2xCB4856 RIAIL,0,NA,NA,NA,NA,NA,5/7/12,QX,Working Box #2
13.1811,QX149,N2xCB4856 RIAIL,0,NA,NA,NA,NA,NA,5/7/12,QX,Working Box #2
13.1812,QX162,N2xCB4856 RIAIL,0,NA,NA,NA,NA,NA,5/7/12,QX,Working Box #2
13.1813,QX171,N2xCB4856 RIAIL,0,NA,NA,NA,NA,NA,5/7/12,QX,Working Box #2
13.1814,QX181,N2xCB4856 RIAIL,0,NA,NA,NA,NA,NA,5/7/12,QX,Working Box #2
13.1815,QX195,N2xCB4856 RIAIL,0,NA,NA,NA,NA,NA,5/7/12,QX,Working Box #2
13.1816,PB1102,AF16xHK104 RIAIL,0,NA,NA,NA,NA,NA,5/11/12,QG,Liquid N2 Box #1
13.1817,PB1103,AF16xHK104 RIAIL,0,NA,NA,NA,NA,NA,5/11/12,QG,Liquid N2 Box #1
13.1818,PB1104,AF16xHK104 RIAIL,0,NA,NA,NA,NA,NA,5/11/12,QG,Liquid N2 Box #1
13.1819,PB1105,AF16xHK104 RIAIL,0,NA,NA,NA,NA,NA,5/11/12,QG,Liquid N2 Box #1
13.182,PB1106,AF16xHK104 RIAIL,0,NA,NA,NA,NA,NA,5/11/12,QG,Liquid N2 Box #1
13.1821,PB1109,AF16xHK104 RIAIL,0,NA,NA,NA,NA,NA,5/11/12,QG,Working Box #3
13.1822,PB1110,AF16xHK104 RIAIL,0,NA,NA,NA,NA,NA,5/11/12,QG,Liquid N2 Box #1
13.1823,PB1111,AF16xHK104 RIAIL,0,NA,NA,NA,NA,NA,5/11/12,QG,Liquid N2 Box #1
13.1824,PB1112,AF16xHK104 RIAIL,0,NA,NA,NA,NA,NA,5/11/12,QG,Working Box #3
13.1825,PB1113,AF16xHK104 RIAIL,0,NA,NA,NA,NA,NA,5/11/12,QG,Liquid N2 Box #1
13.1826,PB1114,AF16xHK104 RIAIL,0,NA,NA,NA,NA,NA,5/11/12,QG,Working Box #3
13.1827,PB1115,AF16xHK104 RIAIL,0,NA,NA,NA,NA,NA,5/11/12,QG,Liquid N2 Box #1
13.1828,PB1116,AF16xHK104 RIAIL,0,NA,NA,NA,NA,NA,5/11/12,QG,Liquid N2 Box #1
13.1829,PB1117,AF16xHK104 RIAIL,0,NA,NA,NA,NA,NA,5/11/12,QG,Liquid N2 Box #1
13.183,PB1118,AF16xHK104 RIAIL,0,NA,NA,NA,NA,NA,5/11/12,QG,Liquid N2 Box #1
13.1831,PB1119,AF16xHK104 RIAIL,0,NA,NA,NA,NA,NA,5/11/12,QG,Liquid N2 Box #1
13.1832,PB1121,AF16xHK104 RIAIL,0,NA,NA,NA,NA,NA,5/11/12,QG,Working Box #3
13.1833,PB1122,AF16xHK104 RIAIL,0,NA,NA,NA,NA,NA,5/11/12,QG,Liquid N2 Box #1
13.1834,PB1123,AF16xHK104 RIAIL,0,NA,NA,NA,NA,NA,5/11/12,QG,Liquid N2 Box #1
13.1835,PB1124,AF16xHK104 RIAIL,0,NA,NA,NA,NA,NA,5/11/12,QG,Liquid N2 Box #1
13.1836,PB1125,AF16xHK104 RIAIL,0,NA,NA,NA,NA,NA,5/11/12,QG,Liquid N2 Box #1
13.1837,PB1126,AF16xHK104 RIAIL,0,NA,NA,NA,NA,NA,5/11/12,QG,Liquid N2 Box #1
13.1838,PB1127,AF16xHK104 RIAIL,0,NA,NA,NA,NA,NA,5/11/12,QG,Liquid N2 Box #1
13.1839,PB1128,AF16xHK104 RIAIL,0,NA,NA,NA,NA,NA,5/11/12,QG,Liquid N2 Box #1
13.184,PB1129,AF16xHK104 RIAIL,0,NA,NA,NA,NA,NA,5/11/12,QG,Liquid N2 Box #1
13.1841,PB1130,AF16xHK104 RIAIL,0,NA,NA,NA,NA,NA,5/11/12,QG,Working Box #4
13.1842,PB1132,AF16xHK104 RIAIL,0,NA,NA,NA,NA,NA,5/11/12,QG,Liquid N2 Box #1
13.1843,PB1133,AF16xHK104 RIAIL,0,NA,NA,NA,NA,NA,5/11/12,QG,Liquid N2 Box #1
13.1844,PB1134,AF16xHK104 RIAIL,0,NA,NA,NA,NA,NA,5/11/12,QG,Liquid N2 Box #1
13.1845,PB1135,AF16xHK104 RIAIL,0,NA,NA,NA,NA,NA,5/11/12,QG,Liquid N2 Box #1
13.1846,PB1136,AF16xHK104 RIAIL,0,NA,NA,NA,NA,NA,5/11/12,QG,Liquid N2 Box #1
